MIDI to text converter by Dominic Bodman
==============CONCISE MODE==============
Song data: Note count | Duration | Tempo change count
Tempo data: BPM | Start time | End time
Channel data: Channel 1 instrument | Channel 2 instrument | ... | Channel 16 instrument (Note: -1 indicates an unused channel)
Note data: Start Time | Channel | Key | Velocity | Duration
========================================
DATA BEGIN
33212|1|72|100|134
33212|9|46|100|268
33212|0|46|100|134
33212|15|58|100|134
33212|3|34|100|134
33212|15|70|100|134
33212|9|35|100|268
33346|1|72|100|134
33390|9|42|100|90
33480|0|46|100|133
33480|4|46|100|133
33480|15|70|100|133
33480|15|58|100|133
33480|9|46|100|267
33480|9|35|100|267
33480|2|34|100|133
33480|3|34|100|133
33613|1|72|100|134
33747|1|72|100|134
33881|1|72|100|134
34149|1|72|100|134
34283|1|72|100|134
34283|3|24|100|268
34283|0|36|100|268
34283|9|35|100|268
34283|2|24|100|268
34283|9|42|100|268
34283|15|60|100|268
34283|4|36|100|268
34417|1|72|100|134
34551|2|31|100|268
34551|4|43|100|268
34551|9|42|100|134
34551|3|31|100|268
34551|0|43|100|268
34551|15|67|100|268
34685|9|42|100|134
34685|1|72|100|134
34819|9|46|100|268
34819|1|72|100|134
34819|15|66|100|268
34819|9|38|100|268
34819|4|42|100|268
34819|2|30|100|268
34819|3|30|100|268
34819|0|42|100|268
34819|9|42|100|268
34953|1|72|100|134
35087|9|42|100|133
35087|2|31|100|267
35087|3|31|100|267
35087|0|43|100|267
35087|4|43|100|267
35220|1|72|100|134
35220|9|42|100|134
35265|9|35|64|89
35354|2|24|100|268
35354|15|60|100|134
35354|9|35|100|268
35354|0|36|100|268
35354|3|24|100|268
35354|4|36|100|268
35354|1|72|100|134
35354|9|42|100|268
35488|1|72|100|134
35488|15|60|100|134
35622|0|43|100|268
35622|9|42|100|134
35622|15|67|100|268
35622|2|31|100|268
35622|9|35|100|268
35622|3|31|100|268
35622|4|43|100|268
35756|9|42|100|134
35756|1|72|100|134
35890|15|66|100|268
35890|9|42|100|268
35890|9|46|100|268
35890|0|42|100|268
35890|2|30|100|268
35890|1|72|100|134
35890|3|30|100|268
35890|4|42|100|268
35890|9|38|100|268
36024|1|72|100|134
36158|3|31|100|268
36158|9|42|100|134
36158|2|31|100|268
36158|4|43|100|268
36158|0|43|100|268
36158|15|67|100|268
36158|9|35|100|268
36292|1|72|100|134
36292|9|42|100|134
36426|4|36|100|268
36426|1|72|100|134
36426|9|35|100|535
36426|0|36|100|268
36426|2|24|100|268
36426|3|24|100|268
36426|15|48|100|134
36426|15|60|100|134
36560|1|72|100|134
36560|15|48|100|134
36560|15|60|100|134
36694|15|55|100|267
36694|2|31|100|267
36694|0|43|100|267
36694|15|67|100|267
